cc,Study,-84.MAN:warming,-84.MAN:microbial_response,-83.ENVO:01001330,-85.MAN:human,-85.MAN:gut,-86.CSO:Season,-86.MAN:decade,-86.MAN:100-year,-86.MAN:millenium,-86.MAN:10-year,-86.MAN:century,-86.MAN:ongoing,-86.MAN:span
0,MGYS00001864,0,0,0,0,0,4,0,0,0,0,0,0,0
0,MGYS00005246,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00001157,7,0,1,0,0,0,1,0,0,2,0,0,0
0,MGYS00000930,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000782,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000896,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000780,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001055,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003963,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003722,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000927,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000814,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000746,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000778,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002401,0,0,0,0,0,5,0,0,0,0,0,0,0
0,MGYS00005051,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000880,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003861,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00006043,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000874,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001018,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000807,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000692,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00001030,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000905,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000779,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005094,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000796,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000970,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000964,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000699,0,1,0,0,0,2,0,0,0,0,0,0,0
0,MGYS00000893,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001957,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001020,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005701,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001019,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001010,0,0,0,0,0,5,0,0,0,0,0,0,0
0,MGYS00003769,1,1,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002698,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001718,0,0,0,0,0,12,0,0,0,0,0,0,0
0,MGYS00004316,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000768,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000434,0,0,0,1,2,0,0,0,0,0,0,0,0
0,MGYS00003862,0,0,0,0,0,0,0,1,0,0,0,0,0
0,MGYS00005539,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000676,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000751,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000824,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000910,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000812,2,1,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001634,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000716,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005155,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002069,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000854,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000708,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000973,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005721,3,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000792,2,0,0,0,0,0,0,0,0,0,2,0,0
0,MGYS00000918,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000721,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001596,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003716,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000797,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000914,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000655,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000450,0,0,0,0,0,0,0,0,0,0,0,1,0
0,MGYS00000890,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000665,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000818,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000770,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000675,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000825,0,0,1,0,0,0,0,0,0,0,0,0,0
0,MGYS00000885,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002067,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000687,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000799,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000827,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000496,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000743,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000747,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000790,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005501,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000387,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000363,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000844,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000764,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000913,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000369,0,0,0,0,0,0,0,0,1,0,0,0,0
0,MGYS00000626,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000710,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000283,0,0,0,0,0,1,0,0,0,0,0,0,0
0,MGYS00001082,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000771,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000901,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000738,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000801,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00000694,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000725,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000624,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000758,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000709,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000858,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000737,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000892,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000736,0,0,0,0,0,0,0,0,0,0,1,0,0
0,MGYS00000866,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000385,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000839,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000917,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000819,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000756,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000834,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000876,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000741,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000691,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000735,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000754,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000658,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000673,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000728,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000713,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000684,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000726,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000881,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000993,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00000788,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000661,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000857,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000791,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000689,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000898,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000714,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000705,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000759,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000877,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000772,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000666,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000916,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000690,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000260,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000656,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001007,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000775,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000920,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000806,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000753,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000365,0,0,0,0,0,2,0,0,0,0,0,0,0
1,MGYS00000693,2,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000733,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002049,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000763,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000477,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000653,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000437,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000888,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002068,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000752,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000909,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000769,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00000662,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000573,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002011,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000620,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000894,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000634,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000392,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000767,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000745,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000786,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000650,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002055,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000773,1,0,1,0,0,1,0,0,0,0,0,0,0
0,MGYS00000886,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000724,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000698,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000793,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000742,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000717,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000649,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000765,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000739,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000869,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000712,0,0,1,0,0,0,0,0,0,0,0,0,0
0,MGYS00000907,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00002037,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000731,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000528,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000734,1,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000637,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002059,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000840,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000837,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000652,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000683,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000316,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000622,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000843,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000755,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000785,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002306,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00002047,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000744,0,0,0,0,0,1,0,0,0,0,0,0,0
0,MGYS00000828,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000723,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000651,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000853,0,0,1,0,0,0,0,0,0,0,0,0,0
0,MGYS00000623,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000722,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000256,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000856,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000542,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000850,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000804,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000627,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000672,0,0,1,0,0,0,0,0,0,0,0,0,0
0,MGYS00000915,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000860,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000882,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000762,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000831,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000657,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000900,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000729,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000803,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000776,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000295,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000859,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000809,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000750,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000810,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000838,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000644,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000802,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000373,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000811,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000357,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000525,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000368,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000697,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000821,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000906,1,1,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000816,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000636,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000822,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000787,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000903,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000895,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000682,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000774,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000849,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000732,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000529,0,2,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00000847,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000789,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000730,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000727,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000317,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000621,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000846,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000539,0,0,0,0,0,1,0,0,0,0,0,0,0
0,MGYS00000766,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000664,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000670,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000800,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000635,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005161,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000628,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000334,0,0,0,0,0,0,1,0,0,0,0,1,0
0,MGYS00000783,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00002051,7,0,1,0,0,0,1,0,0,2,0,0,0
0,MGYS00000848,0,0,0,0,0,0,0,0,0,0,0,2,0
0,MGYS00000704,0,0,1,0,0,0,0,0,0,0,0,0,0
0,MGYS00000668,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000899,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000815,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000872,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000908,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000808,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002305,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000374,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002070,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000761,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000873,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000784,0,0,0,0,0,0,1,0,0,0,2,0,0
0,MGYS00004640,0,0,0,1,0,0,0,0,0,0,0,0,0
0,MGYS00000879,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000835,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000884,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000667,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000855,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001021,1,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000887,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000760,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000377,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000889,0,0,0,0,0,4,0,4,0,0,0,0,0
0,MGYS00000510,0,0,0,0,0,1,0,0,0,0,0,0,0
0,MGYS00000912,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000681,0,0,0,0,0,0,0,0,0,0,0,0,0
